frame,time_s_center,time_s_from_start,moon_distance_km,moon_px,sun_px,scale_pct,screen_x_px,screen_y_px,alpha_deg,beta_deg,angular_sep_deg,sun_az_deg,sun_alt_deg,moon_az_deg,moon_alt_deg,utc_iso
1124,672.6363181590796,6072.63631815908,355170.9055324894,65.41775584702043,62.2713459276114,13.083551169404087,-5.14250149058075,8.194102014973922,-0.0440649987090872,0.0702134915889415,0.0828954439301886,205.90729727505175,54.57629554862353,205.83114193878168,54.64648515565561,2006-03-29 11:05:17.191
1125,678.0390195097552,6078.039019509755,355171.5040780349,65.4176456030794,62.27134459814713,13.08352912061588,-5.171561522805989,8.262183218722512,-0.0443140078295721,0.0707968641381783,0.0835219926970385,205.94358048232456,54.56836849552936,205.8670086305437,54.63914121096703,2006-03-29 11:05:22.594
1126,683.4417208604309,6083.441720860431,355172.1033571401,65.41753522439886,62.2713432683627,13.083507044879772,-5.200561525477173,8.330294004633744,-0.0445625025681445,0.0713804901556366,0.0841486001100061,205.9798498915791,54.56043108573496,205.9028625812697,54.63178716223924,2006-03-29 11:05:27.997
1127,688.8444222111057,6088.844422211106,355172.7033700791,65.41742471092981,62.27134193825839,13.08348494218596,-5.229501539209524,8.398434315553393,-0.0448104832728284,0.0719643691514343,0.0847752653482387,206.0161054942696,54.55248332636467,205.9387037815104,54.62442301611672,2006-03-29 11:05:33.399
1128,694.2471235617813,6094.247123561781,355173.3041177898,65.41731406250076,62.27134060783355,13.083462812500152,-5.258381546934707,8.466604038691992,-0.0450579497973702,0.0725485001589634,0.0854019869512847,206.052347281891,54.544525224546135,205.9745322227108,54.61704877877104,2006-03-29 11:05:38.802
1129,699.649824912457,6099.649824912457,355173.90559940995,65.41720327927196,62.27133927708872,13.083440655854393,-5.287201684816488,8.534803211289685,-0.0453049033085287,0.0731328834971851,0.0860287652689627,206.0885752459768,54.53655678741101,206.0103478940829,54.60966445766189,2006-03-29 11:05:44.205
1130,705.0525262631318,6105.052526263132,355174.5078142724,65.41709236136764,62.27133794602391,13.083418472273529,-5.315961902735979,8.603031687607471,-0.0455513433768474,0.0737175179171539,0.0866555985012164,206.1247893781062,54.52857802209154,206.04615078764297,54.60227005868339,2006-03-29 11:05:49.608
1131,710.4552276138074,6110.455227613807,355175.1107636393,65.4169813085567,62.27133661463912,13.08339626171134,-5.344662259775276,8.671289430358541,-0.0457972705085893,0.074302403099226,0.0872824861545843,206.1609896698958,54.5205889357248,206.0819408938256,54.59486558866262,2006-03-29 11:05:55.010
1132,715.8579289644831,6115.857928964483,355175.71444673295,65.41687012098379,62.27133528293411,13.08337402419676,-5.373302808744526,8.739576392803764,-0.0460426851562747,0.0748875386427627,0.0879094276607239,206.19717611300308,54.512589535450005,206.1177182031981,54.587451054347945,2006-03-29 11:06:00.413
1133,721.2606303151579,6121.260630315158,355176.3188628039,65.41675879878825,62.271333950909465,13.08335175975765,-5.401883552074263,8.807892483501874,-0.0462875873407317,0.0754729237640823,0.088536421920532,206.23334869912824,54.50457982840896,206.1534827071152,54.58002646210768,2006-03-29 11:06:05.816
1134,726.6633316658335,6126.6633316658335,355176.9240135615,65.4166473416567,62.27133261856464,13.08332946833134,-5.430404538109509,8.876237651855053,-0.04653197747622,0.0760585580294813,0.0891634683601704,206.2695074200109,54.49655982174631,206.1892343962899,54.57259181866246,2006-03-29 11:06:11.218
1135,732.0660330165083,6132.066033016508,355177.5298975322,65.41653574986188,62.27133128589991,13.083307149972375,-5.4588658018171135,8.944611835638458,-0.0467758558623647,0.0766444409056267,0.089790566281014,206.30565226742945,54.48852952261069,206.22497326167075,54.56514713063743,2006-03-29 11:06:16.621
1136,737.468734367184,6137.468734367184,355178.13651451794,65.41642402344165,62.27132995291541,13.083284804688333,-5.487267364856311,9.01301495977006,-0.0470192226847609,0.0772305717490148,0.0904177148504852,206.341783233208,54.48048893815111,206.26069929444787,54.55769240454795,2006-03-29 11:06:22.024
1137,742.8714357178596,6142.87143571786,355178.74386548065,65.41631216222024,62.27132861961097,13.083262432444048,-5.515609299315306,9.081446998870664,-0.0472620785611185,0.0778169503420338,0.0910449138432562,206.3779003092055,54.47243807552175,206.2964124850989,54.55022764733999,2006-03-29 11:06:27.427
1138,748.2741370685344,6148.274137068534,355179.3519493439,65.41620016639727,62.27132728598693,13.083240033279456,-5.543891617852007,9.149907868480602,-0.0475044235999024,0.0784035759608246,0.0916721623547573,206.414003487326,54.46437694187789,206.3321128250244,54.54275286545488,2006-03-29 11:06:32.829
1139,753.6768384192101,6153.67683841921,355179.9607666132,65.41608803588107,62.27132595204296,13.083217607176216,-5.572114335978444,9.218397487764156,-0.0477462579340339,0.0789904479125808,0.0922994595373602,206.45009275951216,54.45630554437799,206.36780030562028,54.535268065368136,2006-03-29 11:06:38.232
